
images (1).jpg:

images (2).jpg:
cow : 95.81948518753052
cow : 50.434017181396484
cow : 50.75015425682068
cow : 74.35676455497742
cow : 86.63609027862549
cow : 83.14972519874573

images (3).jpg:
cow : 50.634706020355225
cow : 52.46227979660034
cow : 50.81925392150879
person : 86.71606779098511
person : 83.68194103240967
cow : 68.32695603370667

images (4).jpg:
person : 68.58193874359131
person : 78.31265926361084
car : 90.61157703399658
truck : 55.04525303840637
truck : 71.84668779373169

images (5).jpg:
cow : 51.91667079925537
cow : 57.49708414077759
cow : 86.48065328598022
cow : 52.536773681640625
cow : 56.18085265159607

images (6).jpg:
cow : 58.92334580421448
cow : 55.95659017562866
cow : 50.59046149253845
cow : 55.76174855232239
cow : 71.22268676757812
cow : 50.859665870666504
cow : 56.92067742347717
cow : 58.03672671318054
cow : 55.502331256866455
cow : 51.045095920562744
cow : 65.88534116744995
cow : 59.11000967025757
cow : 52.476322650909424
cow : 71.82447910308838
cow : 53.71437072753906
cow : 86.27729415893555
cow : 68.61940622329712
cow : 52.423566579818726
cow : 76.48523449897766

images (7).jpg:
person : 54.34461236000061
person : 52.41956114768982
person : 79.71525192260742
person : 86.1268162727356
person : 69.2755937576294
person : 83.47406387329102
person : 50.141894817352295
sheep : 55.035096406936646
person : 63.245052099227905
person : 52.71214842796326
person : 67.68252849578857
person : 87.19103336334229
person : 50.20655393600464
person : 54.22578454017639
person : 64.22211527824402
person : 66.46184921264648
person : 84.60357189178467
person : 58.53702425956726
person : 58.4858238697052
person : 58.59220623970032
person : 79.83983159065247

images (8).jpg:
car : 52.631330490112305
car : 62.90292739868164
car : 64.57414627075195
car : 50.86021423339844
car : 51.4224648475647
car : 60.05592346191406
car : 52.5742769241333
car : 66.23440980911255
car : 79.8582136631012
car : 90.22987484931946
truck : 50.17590522766113
truck : 58.746856451034546
car : 72.03140258789062
car : 75.0512957572937
car : 80.29311299324036
car : 57.84371495246887
car : 81.78105354309082
car : 90.78826308250427
car : 96.73060178756714
car : 83.09283256530762
car : 72.70509004592896
car : 60.96084713935852
car : 89.38313722610474
car : 97.5473701953888
truck : 54.238635301589966
truck : 52.384018898010254
car : 85.385262966156
car : 86.24053001403809
car : 91.95634722709656

images (9).jpg:
car : 62.05783486366272

images (10).jpg:
person : 50.17359256744385
car : 56.13914132118225
sheep : 61.31861209869385
car : 50.25291442871094
car : 62.24361062049866
person : 71.1152195930481
sheep : 54.79975342750549
sheep : 51.13203525543213
sheep : 55.70630431175232
sheep : 75.0434398651123
bicycle : 54.66901659965515
sheep : 64.25504088401794
sheep : 52.04395651817322
sheep : 60.509222745895386
person : 81.340092420578
sheep : 58.900654315948486
